Continue,Search,Buy,Add to Cart,Pay on delivery,Deliver to,Subtotal,Tip,Shipping,Tax,Total,Chat,My Orders,Orders,Account,My Account,Username,Email,Username or Email,Phone,Street,Street Number,Apt,City,support,Preparing,Arrived,Profile,Logout,Empty Cart,Keep Shopping,Order has been sent,Login,Register,Invalid Address,Invalid User
Continuer,Recherche,Acheter,Ajouter au panier,Payer à la livraison,Livrer à,Soustotal,Pourboire,Frais de livraison,Taxe,Total,Discussion,Mes commandes,Commandes,Compte,Mon Compte,Utilisateur,Email,Utilisateur/Email,Téléphone,Rue,Numeroa,Apartement,Ville,support,En preparation,En chemin,Profile,Se déconnecter,Panier vide,Continuer à acheter,La commande a été envoyée,S'identifier,S’enregistrer,Adresse invalide,Utilisateur invalide
