Continue,Search,Buy,Add to Cart,Pay on delivery,Deliver to,Subtotal,Tip,Shipping,Tax,Total,Chat,My Orders,Orders,Account,My Account,Username,Email,Username or Email,Phone,Street,Street Number,Apt,City,support,Preparing,Arrived,Profile,Logout,Empty Cart,Keep Shopping,Order has been sent,Login,Register,Invalid Address,Invalid User
Seguir,Buscar,Comprar,Añadir al carrito,Paga en la entrega,Entregar a,Subtotal,Propina,Envío,IVA,Total,Discusión,Mis pedidos,Pedidos,Cuenta,Mi cuenta,Usuário,Correo,Usuário o Correo,Teléfono,Calle,Número,Departamento,Ciudad,soporte,Preparando,En camino,Perfil,Salir,Carrito vacio,Seguir comprando,Se ha enviado el pedido,Ingresar,Registrar,Dirección inválida,Usuario invalido
