Continue,Search,Buy,Add to Cart,Pay on delivery,Deliver to,Subtotal,Tip,Shipping,Tax,Total,Chat,My Orders,Orders,Account,My Account,Username,Email,Username or Email,Phone,Street,Street Number,Apt,City,support,Preparing,Arrived,Profile,Logout,Empty Cart,Keep Shopping,Order has been sent,Login,Register,Invalid Address,Invalid User
Continuar,Buscar,Comprar,Adicionar ao carrinho,Pague na entrega,Pedido para,Subtotal,Gorjeta,Envío,Taxas,Total,Chat,Meus pedidos,Pedidos,Conta,Minha conta,Usuário,Email,Usuário ou email,Telefone,Rua,Número,Apartamento/Casa,Cidade,Ajuda,Preparando,A caminho,Perfil,Sair,Carrinho vazio,Continuar comprando,O pedido foi enviado,Loging/Entrar,Registrar,Endereço inválido,Usuário inválido
